keyid,filename,title,creator,date,publisher not identified,publisherloc,publisher2,publisher2loc,distributor,distloc,edition,illustration,pages,size,series,volume,seriesadd,volumeadd,note,translatedfrom,bibliography,contents,summary,subjects,type,format,language,display_template
hk0049,placeholder.jpg,Yossi & Laibel's Shabbos surprise,"Rosenfeld, Dina Herman;Nodel, Norman",2017,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,1 volume,17 cm,,,,,"""Adapted from Peanut butter & jelly for Shabbos."";On board pages.",,,,"In this rhyming story, brothers Yossi and Laibel prepare a Shabbos surprise for the whole family.",Brothers;Jewish families;Sabbath;Jewish way of life;Family life;Board books;Fiction;Stories in rhyme,Image;StillImage,image/jpeg,eng,item
hk0050,rosenfeld_whythemoononlyglows.jpg,Why the moon only glows : a medrash [sic] retold,"Rosenfeld, Dina Herman;Holtzman, Yehudit",1992,Hachai Publishing,"Brooklyn, NY",,,,,,color illustrations,30 pages,26 cm,,,,,,,,,"This story is just for you, if you would like to know, why the sun can shine so brightly, but the moon can only glow! Looking for the perfect bed time story? This age-old story from the Midrash, retold in rhyme for the very young child and illustrated with dreamy watercolor paintings, creates just the right mood for sleep.;8\ ""...A flowing version of a popular midrash.. that teaches humility along the way"". Moment.",Creation;Midrash;Folklore;Moon;Picture books,Image;StillImage,image/jpeg,eng,item
hk0051,placeholder.jpg,My first Shabbos board book : what we do (and don't do) on Shabbos,"Greenberg, Zahava;Horowitz, Tova;Simon, Mira",2020,Judaica Press,"Brooklyn, NY",Judaica Press Kids,,,,,color illustrations,1 volume,22 cm,,,,,On board pages.,,,,"""A Shabbos guide for your little ones! It's a challenge for little kids to know what they're allowed and not allowed to do on Shabbos. With gentle rhyme and charming illustrations, this adorable book introduces them to the basic do's and don'ts of Shabbos, and helps plant the seeds of love for Shabbos in their tender hearts.""--Amazon.com",Sabbath;Jewish way of life;Board books;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
hk0052,placeholder.jpg,My very own mitzvah feet,"Goetz, Bracha;Wolf, Malka",2013,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,1 volume,,,,,,On board pages.,,,,,Jewish way of life;Foot;Conduct of life;Fiction,Image;StillImage,image/jpeg,eng,item
hk0053,placeholder.jpg,My very own mitzvah mouth,"Goetz, Bracha;Wolf, Malka",2013,Judaica Press,"Brooklyn, NY",,,,,,color illustrations,1 volume,22 cm,,,,,On board pages.,,,,,Jewish way of life;Mouth;Speech;Commandments (Judaism);Fiction,Image;StillImage,image/jpeg,eng,item
hk0054,placeholder.jpg,Dovy and the builders,"Weinstock, Malky;Pileggi, Steve;Stone, Reuven A;Szpilzinger, Menachem",2015,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,24 pages,25 cm + 1 audio disc,LITE Boy,2,,,"Includes a CD with ""lyrics and audio production Reuven A. Stone;vocalist, Menachem Szpilzinger.""",,,,,Orthodox Judaism;Building;Haredi and religious literature;Fiction;Religious fiction,Image;StillImage,image/jpeg,eng,item
hk0055,placeholder.jpg,Yael and her new baby sister,"Weinstock, Malky;Pileggi, Steve;Brown, Mattisyahu",2016,LITE Child Enterprises,"Brooklyn, NY",Judaica Press,"Brooklyn, NY",,,,color illustrations,22 pages,25 cm + 1 audio disc,LITE Girl,,,,"For accompanying CD: ""song lyrics and composition: Mattisyahu Brown""--Title page verso",,,,"""There's lots of excitement in Yael's house-- a new baby sister! Everyone is thrilled ... except Yael. Join Yael as she adjusts, learning to love and accept Baby Esther. This is the big sister book you've been waiting for!""--Amazon.com",Jewish girls;Sisters;Sibling rivalry;Orthodox Judaism;Fiction,Image;StillImage,image/jpeg,eng,item
hk0056,placeholder.jpg,Combat of censorship,"Havlin, B Sh;Worenklein, Daniel",2019,Ner Lamoer,"Brooklyn, NY",,,,,,illustrations,61 pages,30 cm,,,,,,,,,"""One morning, two of the biggest book printers in Venice discover that they are competing for the contracts of the same Jewish books. The solution to their problem is clear to both of them - to go tell the Pope that their competitor's books are filled with heresy against the Church, with hopes that the competition's books will be burned. Both of them were successful and an order was passed to burn all volumes of the Talmud throughout Italy. With the order set to be fulfilled on Rosh Hashanah, the Jews of Italy are in a race against time to rescind the evil decree and rescue their beloved seforim. In the meantime, soldiers are scouring the country. In Venice. Padua, Mantua and Rome, Jewish homes and shuls are raided and their seforim are gathered to be burned, among them the precious siddur that our hero, little Eliyahu, inherited from his grandfather Will Eliyahu succeed in recovering his siddur before it is condemned to destruction? Will the Jews of Ita!y rescue their beloved seforim? And who is ""Sammy Slick,"" the mysterious Gypsy boy who befriends our heroes? Why is he helping them? What does he really want? All these questions and more will be answered in Batsheva Havlin's exciting new comic-book. Combat of Censorship, a gripping historical adventure, filled with humor, emotion, and excitement. A story of hope that conquers despair, friendship that conquers selfishness and the struggle of the Jewish people to rescue the holy Torah.""--back cover.",Translations;Italy;Persecutions;Graphic novels;Haredi and religious literature;History,Image;StillImage,image/jpeg,eng,item
hk0057,placeholder.jpg,France in flames,"Einhorn, P H;Zmora, Avram",2023,Shai Publishing,"Brooklyn, NY",Kinder Shpiel,,,,,color illustrations,88 pages,33 cm,,,,,,,,,,Jewish families;France;Strasbourg (France);19th century;History;Graphic novels,Image;StillImage,image/jpeg,eng,item
hk0058,placeholder.jpg,The Berlin wall,"Hershkowitz, M M (Menachem Mendel);Yarhi, G'aki",2023,Shai Publishing,"Brooklyn, NY",Kinder Shpiel,,,,,color illustrations,73 pages,30 cm,,,,,,,,,,Germany (East);Berlin Wall;Germany;1961-1989;Berlin (Germany);Graphic novels;Haredi and religious literature,Image;StillImage,image/jpeg,eng,item
